driver_id,name,gender,age,experience,driving_style,ratings,vehicle_no,average_speed_mph
d9f30553-6,Daniel Marks,male,47,5,proactive,7,42302347,62.22
82de7bb8-2,Clifford Carr,male,47,14,proactive,4,27867488,60.89
7e789842-4,Terry Faulkner MD,male,41,9,conservative,2,13927774,53.67
b2555587-8,Brendan Jacobs,male,44,10,proactive,2,69577118,59.82
b2e58421-d,Vincent Davis,male,41,10,proactive,7,28650047,62.65
6ef125cc-7,Alexander Wheeler,male,49,10,proactive,4,29303248,57.66
e2796d38-5,Frederick Perry,male,54,17,conservative,9,76304377,40.79
86b61bd1-8,Todd Garrison,male,49,5,,4,21093078,61.7
24d78a24-e,John Anthony,male,48,0,conservative,3,41713749,42.15
09665f38-8,Robert Russell DDS,male,40,6,conservative,2,14730346,46.49
0a1a814b-7,Emily Christian,female,56,19,proactive,4,45395833,62.13
6c5cb5b0-f,Jared Palmer,male,46,13,proactive,8,63115903,60.13
ddf2137b-9,Robert Tucker,male,50,10,conservative,7,10633538,49.87
a3fff7b4-5,Randall Hernandez,male,55,14,proactive,6,32648498,58.28
0dc6fcfe-f,Steven Williams,male,45,18,proactive,4,30567382,60.77
2f2e8d57-9,Joshua Martinez,male,46,9,conservative,3,27799951,38.87
cf474820-2,Antonio Hughes,male,49,19,conservative,4,28678505,46.85
6beb538f-f,Thomas Wilson,male,44,11,conservative,4,27565604,43.93
25ee5381-f,Kyle Miller,male,51,18,proactive,7,11490614,57.49
458fb6c9-c,Shirley Wilson,female,51,25,conservative,4,77945069,48.95
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
